"자치구 기준일","종로구 전체","종로구 추가","중구 전체","중구 추가","용산구 전체","용산구 추가","성동구 전체","성동구 추가","광진구 전체","광진구 추가","동대문구 전체","동대문구 추가","중랑구 전체","중랑구 추가","성북구 전체","성북구 추가","강북구 전체","강북구 추가","도봉구 전체","도봉구 추가","노원구 전체","노원구 추가","은평구 전체","은평구 추가","서대문구 전체","서대문구 추가","마포구 전체","마포구 추가","양천구 전체","양천구 추가","강서구 전체","강서구 추가","구로구 전체","구로구 추가","금천구 전체","금천구 추가","영등포구 전체","영등포구 추가","동작구 전체","동작구 추가","관악구 전체","관악구 추가","서초구 전체","서초구 추가","강남구 전체","강남구 추가","송파구 전체","송파구 추가","강동구 전체","강동구 추가","기타 전체","기타 추가"
"2023.01.28.00","78305","56","70414","44","120735","76","167134","118","202140","143","194834","161","214639","129","248792","175","157896","88","171508","104","296804","188","265113","211","178047","121","217631","169","255202","176","336583","221","234775","203","132785","88","236485","164","230497","145","290063","195","230473","142","298046","203","382875","240","268076","204","377235","301"
"2023.01.27.00","78250","61","70374","67","120659","75","167016","124","201997","189","194673","186","214511","161","248617","201","157808","141","171404","122","296617","241","264903","243","177926","135","217462","204","255026","216","336370","309","234572","245","132697","103","236324","201","230352","192","289868","292","230331","167","297844","217","382636","391","267872","203","376936","395"
"2023.01.26.00","78189","101","70307","71","120584","119","166892","195","201808","254","194487","214","214350","274","248416","302","157667","176","171282","196","296376","307","264660","332","177791","206","217258","286","254810","256","336061","450","234327","288","132594","184","236123","308","230160","234","289576","317","230164","180","297627","324","382245","419","267669","330","376541","492"
"2023.01.25.00","78088","26","70236","24","120465","41","166697","90","201554","124","194273","100","214076","138","248114","157","157491","82","171086","78","296069","213","264328","171","177585","92","216972","89","254554","109","335611","205","234039","111","132410","72","235815","131","229926","124","289259","166","229984","119","297303","138","381826","220","267339","164","376049","203"
"2023.01.24.00","78062","19","70212","26","120424","32","166607","58","201429","59","194173","80","213938","63","247954","88","157407","46","171020","58","295855","105","264157","104","177493","80","216883","81","254445","106","335406","165","233928","61","132338","41","235684","80","229802","77","289093","113","229865","70","297165","112","381606","151","267175","111","375841","141"
"2023.01.23.00","78043","16","70186","15","120392","41","166549","32","201370","30","194093","58","213875","55","247866","73","157361","25","170962","36","295750","62","264053","71","177413","45","216802","59","254339","53","335241","99","233867","41","132297","26","235604","57","229725","51","288980","61","229795","64","297053","68","381455","97","267064","80","375700","124"
"2023.01.22.00","78027","15","70171","29","120351","39","166517","68","201340","55","194035","56","213820","62","247793","99","157336","79","170926","58","295688","108","263982","132","177368","79","216743","80","254286","107","335142","150","233826","84","132271","38","235547","85","229674","82","288919","147","229731","123","296985","127","381358","153","266984","102","375576","158"
"2023.01.21.00","78012","56","70142","77","120312","101","166449","143","201285","149","193979","181","213758","207","247694","207","157257","97","170868","141","295580","235","263850","254","177289","149","216663","217","254179","206","334992","319","233742","188","132233","129","235462","220","229592","221","288772","221","229608","194","296858","245","381205","332","266882","233","375418","439"
"2023.01.20.00","77957","68","70070","63","120211","88","166307","144","201136","138","193798","160","213551","188","247487","196","157161","156","170727","120","295345","248","263597","226","177140","139","216447","178","253973","230","334674","289","233555","198","132104","101","235243","218","229371","205","288551","250","229414","168","296614","237","380874","333","266652","209","374983","466"
"2023.01.19.00","77889","59","70007","67","120123","110","166163","158","200998","178","193636","163","213362","223","247289","222","157003","128","170665","152","295094","256","263371","276","177001","160","216269","204","253743","210","334385","299","233357","205","132003","106","235024","224","229166","218","288300","278","229245","209","296377","238","380541","370","266443","297","374472","491"
"2023.01.18.00","77830","77","69940","77","120013","105","166005","180","200820","212","193473","217","213139","229","247067","313","156875","203","170513","232","294838","306","263095","330","176841","168","216065","229","253533","271","334086","398","233152","246","131897","163","234800","250","228948","255","288022","345","229036","251","296139","280","380171","428","266146","280","373981","592"
"2023.01.17.00","77753","127","69863","92","119908","199","165825","282","200608","298","193256","287","212910","335","246754","309","156672","194","170281","237","294532","399","262765","388","176673","273","215836","326","253262","321","333688","504","232906","360","131734","199","234550","345","228693","350","287677","377","228785","252","295859","377","379743","595","265866","392","373389","732"
"2023.01.16.00","77626","20","69771","25","119709","29","165543","53","200310","65","192969","64","212575","68","246445","82","156478","83","170044","66","294133","126","262377","96","176400","78","215510","100","252941","92","333184","139","232546","70","131535","54","234205","76","228343","63","287300","119","228533","90","295482","119","379148","119","265474","84","372657","159"
"2023.01.15.00","77606","61","69746","76","119680","112","165490","154","200245","183","192905","193","212507","196","246363","225","156395","170","169978","138","294007","270","262281","297","176322","173","215410","228","252849","266","333045","342","232476","246","131481","122","234129","220","228280","225","287181","305","228443","227","295363","301","379029","432","265390","236","372498","351"
"2023.01.14.00","77545","60","69670","89","119568","140","165336","197","200062","232","192712","227","212311","242","246138","290","156224","209","169847","172","293735","323","261984","297","176149","216","215182","249","252583","282","332703","360","232230","244","131359","117","233909","272","228055","275","286876","326","228216","249","295062","265","378597","463","265154","272","372143","581"
"2023.01.13.00","77485","86","69592","86","119428","138","165140","199","199830","260","192485","240","212070","269","245848","249","156015","190","169676","208","293413","301","261689","340","175937","213","214934","259","252302","333","332346","455","231986","231","131242","150","233638","279","227780","286","286550","366","227967","273","294800","333","378134","452","264884","334","371572","673"
"2023.01.12.00","77399","91","69506","110","119290","166","164941","202","199570","228","192245","287","211801","259","245599","303","155825","195","169471","243","293112","397","261349","350","175724","309","214675","312","251969","344","331891","457","231755","314","131092","162","233359","280","227494","288","286184","420","227694","282","294467","349","377682","500","264550","354","370896","746"
"2023.01.11.00","77308","114","69396","115","119124","187","164739","234","199342","304","191958","296","211542","348","245296","383","155630","272","169228","257","292715","414","260999","397","175415","280","214363","352","251625","404","331434","579","231441","402","130930","228","233079","355","227206","358","285764","504","227412","363","294118","398","377182","652","264196","423","370150","915"
"2023.01.10.00","77194","168","69281","154","118937","238","164505","344","199038","372","191662","375","211194","467","244913","484","155358","361","168974","381","292299","564","260602","587","175135","390","214011","430","251221","514","330855","830","231039","501","130702","294","232724","533","226848","459","285260","590","227049","369","293720","505","376530","675","263773","576","369234","979"
"2023.01.09.00","77026","19","69127","35","118699","67","164161","77","198666","76","191287","111","210727","106","244429","107","154997","62","168593","74","291735","179","260015","142","174745","89","213581","114","250707","123","330025","214","230538","78","130408","51","232191","112","226389","105","284670","153","226680","126","293215","155","375855","158","263197","126","368255","191"
"2023.01.08.00","77007","115","69092","87","118632","142","164084","166","198590","269","191176","221","210621","294","244322","284","154935","234","168519","229","291556","410","259873","384","174656","236","213467","289","250584","424","329811","530","230460","326","130357","172","232079","320","226284","354","284517","404","226554","323","293060","367","375697","482","263071","328","368064","434"
"2023.01.07.00","76892","127","69005","102","118490","193","163918","252","198321","297","190955","294","210327","359","244038","303","154701","254","168296","283","291145","472","259489","475","174420","295","213177","347","250160","436","329281","655","230134","432","130185","268","231758","381","225930","390","284113","559","226231","347","292693","431","375215","669","262743","442","367627","862"
"2023.01.06.00","76765","164","68908","126","118297","213","163666","271","198024","313","190661","295","209970","450","243735","410","154447","265","168015","260","290676","480","259014","520","174125","310","212830","347","249724","442","328628","690","229702","425","129919","226","231381","439","225541","421","283554","550","225886","385","292262","457","374546","629","262302","435","366769","888"
"2023.01.05.00","76601","153","68781","115","118084","205","163395","304","197711","391","190366","368","209520","413","243325","355","154180","294","167761","303","290196","555","258494","501","173815","335","212483","444","249282","530","327938","741","229277","482","129693","265","230942","460","225120","443","283004","607","225501","486","291805","516","373917","721","261866","535","365879","988"
"2023.01.04.00","76448","171","68666","205","117879","288","163091","372","197319","403","189998","426","209107","491","242969","541","153879","344","167488","379","289639","675","257993","623","173480","414","212039","479","248752","620","327197","877","228795","533","129428","334","230481","535","224677","546","282397","664","225015","536","291289","633","373196","959","261331","604","364873","1263"
"2023.01.03.00","76277","255","68461","164","117591","335","162719","458","196916","589","189572","544","208616","617","242428","556","153535","422","167109","526","288964","844","257370","781","173066","552","211560","667","248132","707","326320","1193","228262","732","129094","423","229946","653","224131","716","281733","780","224479","531","290656","781","372237","1072","260727","738","363610","1330"
"2023.01.02.00","76022","45","68297","33","117256","67","162261","88","196327","80","189028","82","207999","67","241872","122","153113","93","166583","67","288120","198","256589","232","172514","116","210893","113","247425","163","325127","219","227530","82","128671","63","229293","130","223415","128","280953","133","223948","213","289875","214","371165","176","259989","152","362280","228"
"2023.01.01.00","75977","123","68264","121","117189","184","162173","254","196247","380","188946","282","207931","325","241750","377","153019","274","166525","243","287922","458","256357","446","172398","290","210780","416","247262","503","324908","706","227448","407","128608","225","229163","414","223287","423","280820","542","223735","457","289661","488","370989","657","259837","481","362045","514"
"2022.12.31.00","75854","144","68143","148","117005","215","161919","350","195867","364","188662","377","207606","417","241372","444","152745","260","166304","340","287462","556","255911","530","172108","390","210364","408","246759","491","324201","719","227041","446","128383","252","228749","443","222863","450","280278","621","223278","452","289173","577","370331","857","259356","489","361517","861"
"2022.12.30.00","75710","146","67995","126","116790","231","161570","243","195503","360","188287","360","207194","436","240929","499","152486","305","165965","332","286906","567","255382","558","171721","383","209956","409","246268","543","323485","777","226605","450","128131","216","228313","485","222413","473","279658","575","222826","437","288597","572","369478","660","258869","551","360662","974"
"2022.12.29.00","75564","189","67869","145","116559","238","161327","364","195143","444","187927","400","206758","506","240430","530","152181","303","165633","363","286339","662","254824","555","171338","407","209547","501","245725","644","322708","815","226155","547","127915","279","227828","539","221940","527","279083","624","222389","500","288025","627","368818","914","258318","614","359688","1159"
"2022.12.28.00","75375","200","67724","196","116321","282","160963","418","194699","518","187526","505","206252","605","239900","671","151878","348","165282","416","285677","680","254269","662","170931","459","209046","606","245081","685","321893","983","225607","621","127636","305","227289","616","221413","605","278459","875","221889","713","287398","730","367904","1088","257704","700","358519","1296"
"2022.12.27.00","75175","243","67528","195","116039","366","160545","518","194181","594","187020","606","205646","738","239229","762","151527","413","164887","553","284994","919","253607","845","170472","606","208440","711","244396","774","320910","1181","224986","752","127331","423","226673","765","220808","707","277584","862","221176","597","286668","885","366816","1389","257004","919","357210","1402"
"2022.12.26.00","74932","22","67333","42","115673","69","160027","81","193587","129","186414","104","204908","96","238467","152","151114","79","164334","67","284075","172","252762","236","169866","120","207729","141","243622","167","319729","272","224234","89","126908","45","225908","130","220101","154","276722","148","220579","173","285783","227","365427","220","256085","181","355808","269"
